,sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment
111,63052f20afc39e87110eb83e_study6_2023-08-14_12h38.59.035.csv,0.6666666666666666,0.5,0.5,0.25,4.5053,1.0576,3,3.0,1,4
112,63052f20afc39e87110eb83e_study6_2023-08-14_12h38.59.035.csv,0.6666666666666666,0.5,0.5,0.25,3.3876,1.0576,4,2.0,1,4
113,63052f20afc39e87110eb83e_study6_2023-08-14_12h38.59.035.csv,0.6666666666666666,0.5,0.5,0.25,4.1811,1.0576,5,0.0,1,4
114,5b2bcfb51835660001cc6751_study6_2023-08-14_20h17.28.155.csv,0.3333333333333333,0.5,0.5,0.0,0.283,1.209,3,4.0,0,4
115,5b2bcfb51835660001cc6751_study6_2023-08-14_20h17.28.155.csv,0.3333333333333333,0.5,0.5,0.0,1.218,1.209,4,7.0,1,4
116,5b2bcfb51835660001cc6751_study6_2023-08-14_20h17.28.155.csv,0.3333333333333333,0.5,0.5,0.0,1.605,1.209,6,2.0,0,4
117,5b2bcfb51835660001cc6751_study6_2023-08-14_20h17.28.155.csv,0.3333333333333333,0.5,0.5,0.0,1.115,1.209,7,3.0,1,4
118,63a439dbbbc878947742d7f7_study6_2023-08-14_12h12.42.182.csv,0.16666666666666666,0.25,0.5,0.0,0.3357,0.7417,3,5.0,0,4
119,63a439dbbbc878947742d7f7_study6_2023-08-14_12h12.42.182.csv,0.16666666666666666,0.25,0.5,0.0,0.3296,0.7417,5,6.0,1,4
120,63a439dbbbc878947742d7f7_study6_2023-08-14_12h12.42.182.csv,0.16666666666666666,0.25,0.5,0.0,0.2849,0.7417,6,3.0,0,4
121,63a439dbbbc878947742d7f7_study6_2023-08-14_12h12.42.182.csv,0.16666666666666666,0.25,0.5,0.0,0.2605,0.7417,7,7.0,0,4
122,63d69e4d6648b39324fdf0ad_study6_2023-08-17_20h13.24.744.csv,0.16666666666666666,0.75,0.25,0.0,2.268,0.7557,1,2.0,0,4
123,63d69e4d6648b39324fdf0ad_study6_2023-08-17_20h13.24.744.csv,0.16666666666666666,0.75,0.25,0.0,0.718,0.7557,5,4.0,1,4
124,63d69e4d6648b39324fdf0ad_study6_2023-08-17_20h13.24.744.csv,0.16666666666666666,0.75,0.25,0.0,1.1765,0.7557,7,6.0,0,4
125,63d69e4d6648b39324fdf0ad_study6_2023-08-17_20h13.24.744.csv,0.16666666666666666,0.75,0.25,0.0,1.1521,0.7557,8,7.0,0,4
126,5beecf340431f3000193c926_study6_2023-08-14_15h13.42.422.csv,0.3333333333333333,0.5,0.5,0.0,1.887,0.8694999999999999,2,4.0,0,4
127,5beecf340431f3000193c926_study6_2023-08-14_15h13.42.422.csv,0.3333333333333333,0.5,0.5,0.0,1.001,0.8694999999999999,3,3.0,1,4
128,5beecf340431f3000193c926_study6_2023-08-14_15h13.42.422.csv,0.3333333333333333,0.5,0.5,0.0,0.933,0.8694999999999999,6,1.0,1,4
129,5beecf340431f3000193c926_study6_2023-08-14_15h13.42.422.csv,0.3333333333333333,0.5,0.5,0.0,1.101,0.8694999999999999,8,5.0,0,4
130,5study6_2023-08-14_17h34.42.363.csv,0.5,0.5,0.5,0.25,1.9181,0.6328,1,1.0,0,4
131,5study6_2023-08-14_17h34.42.363.csv,0.5,0.5,0.5,0.25,0.6028,0.6328,2,2.0,1,4
132,5study6_2023-08-14_17h34.42.363.csv,0.5,0.5,0.5,0.25,0.1881,0.6328,3,0.0,1,4
133,5study6_2023-08-14_17h34.42.363.csv,0.5,0.5,0.5,0.25,0.5429,0.6328,7,4.0,1,4
134,5study6_2023-08-14_08h21.38.177.csv,0.5,0.5,0.5,0.25,2.217,0.734,1,2.0,1,4
135,5study6_2023-08-14_08h21.38.177.csv,0.5,0.5,0.5,0.25,2.486,0.734,4,4.0,1,4
136,5study6_2023-08-14_08h21.38.177.csv,0.5,0.5,0.5,0.25,2.882,0.734,6,7.0,1,4
137,5study6_2023-08-14_08h21.38.177.csv,0.5,0.5,0.5,0.25,1.152,0.734,7,3.0,0,4
138,5Mir_study6_2023-08-14_13h13.21.451.csv,0.6666666666666666,0.25,0.5,0.25,4.8193,0.857,1,2.0,1,4
139,5Mir_study6_2023-08-14_13h13.21.451.csv,0.6666666666666666,0.25,0.5,0.25,0.5755,0.857,2,0.0,1,4
140,5Mir_study6_2023-08-14_13h13.21.451.csv,0.6666666666666666,0.25,0.5,0.25,0.9033,0.857,5,4.0,1,4
141,5Mir_study6_2023-08-14_13h13.21.451.csv,0.6666666666666666,0.25,0.5,0.25,0.7699,0.857,8,5.0,1,4
