,sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment,log_rt_planning,PR
85,5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,-2.441435367804411,1.0,0.75,3.934,0.37275,0.10383439053730714,1,0,1,2.3565040453041566,-1.7221434805157263
86,5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,-2.441435367804411,1.0,0.75,0.6908,0.37275,3.1038343905373074,1,0,1,0.6169423926276757,-1.7221434805157263
87,5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,-2.441435367804411,1.0,0.75,0.4359,0.37275,5.103834390537307,1,0,1,0.15650490559949906,-1.7221434805157263
88,5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,-2.441435367804411,1.0,0.75,0.4584,0.37275,6.103834390537307,1,1,1,0.20683421175568192,-1.7221434805157263
89,5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,-2.441435367804411,1.0,0.75,0.4197,0.37275,7.103834390537307,1,1,1,0.11863221669469735,-1.7221434805157263
90,5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,-2.441435367804411,1.0,0.75,0.5734,0.3132,0.10383439053730714,1,1,1,0.6047415893326216,-1.3888101475157262
91,5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,-2.441435367804411,1.0,0.75,2.1381,0.3132,1.1038343905373071,1,1,1,1.9208308990592868,-1.3888101475157262
92,5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,-2.441435367804411,1.0,0.75,0.4953,0.3132,2.1038343905373074,1,1,1,0.45832167547754404,-1.3888101475157262
93,5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,-2.441435367804411,1.0,0.75,1.3213,0.3132,3.1038343905373074,1,1,1,1.4395294153035232,-1.3888101475157262
94,5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,-2.441435367804411,1.0,0.75,0.5336,0.3132,6.103834390537307,1,0,1,0.532804530484766,-1.3888101475157262
95,5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,-2.441435367804411,1.0,0.75,1.9716,0.3132,8.103834390537306,1,1,1,1.8397587107145748,-1.3888101475157262
96,5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,-2.441435367804411,1.0,0.25,0.8217,0.3428,0.10383439053730714,1,0,1,0.8742281782135175,-1.7221434805157263
97,5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,-2.441435367804411,1.0,0.25,1.093,0.3428,2.1038343905373074,1,0,1,1.1595343014529138,-1.7221434805157263
98,5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,-2.441435367804411,1.0,0.25,0.9371,0.3428,3.1038343905373074,1,1,1,1.0056428134061532,-1.7221434805157263
99,5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,-2.441435367804411,1.0,0.25,1.6885,0.3428,5.103834390537307,1,1,1,1.5944486531019977,-1.7221434805157263
100,5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,-2.441435367804411,1.0,0.25,1.3533,0.3428,7.103834390537307,1,1,1,1.3731541463588353,-1.7221434805157263
101,5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,-2.441435367804411,1.0,0.25,0.7224,0.3428,8.103834390537306,1,0,1,0.7454318153791512,-1.7221434805157263
102,5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,-2.191435367804411,0.75,0.75,4.4296,0.29985,-0.8961656094626929,1,0,1,2.6927822158942387,-1.3888101475157262
103,5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,-2.191435367804411,0.75,0.75,3.0632,0.29985,0.10383439053730714,1,1,1,2.323933050548566,-1.3888101475157262
104,5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,-2.191435367804411,0.75,0.75,0.6002,0.29985,1.1038343905373071,1,1,1,0.6939805833917478,-1.3888101475157262
105,5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,-2.191435367804411,0.75,0.75,0.6151,0.29985,4.103834390537307,1,1,1,0.7185025065998037,-1.3888101475157262
106,5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,-2.191435367804411,0.75,0.75,0.2814,0.29985,5.103834390537307,1,1,1,-0.06350520493423016,-1.3888101475157262
107,5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,-2.191435367804411,0.75,0.75,0.3773,0.29985,6.103834390537307,1,1,1,0.22975827735574614,-1.3888101475157262
108,601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,-2.441435367804411,1.0,0.25,0.9094,0.45285,0.10383439053730714,1,0,1,0.6972240965699527,-1.3888101475157262
109,601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,-2.441435367804411,1.0,0.25,0.12,0.45285,2.1038343905373074,1,1,1,-1.3280692020389115,-1.3888101475157262
110,601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,-2.441435367804411,1.0,0.25,0.7945,0.45285,3.1038343905373074,1,1,1,0.5621520411558132,-1.3888101475157262
111,601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,-2.441435367804411,1.0,0.25,0.6854,0.45285,5.103834390537307,1,1,1,0.41444166461955106,-1.3888101475157262
112,601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,-2.441435367804411,1.0,0.25,0.3354,0.45285,7.103834390537307,1,1,1,-0.300237095431849,-1.3888101475157262
113,601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,-2.441435367804411,1.0,0.25,0.4861,0.45285,8.103834390537306,1,1,1,0.07085341923045234,-1.3888101475157262
114,5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,-2.691435367804411,0.75,0.75,1.6833,0.23345,-0.8961656094626929,1,0,1,1.97554351000809,-1.5554768135157264
115,5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,-2.691435367804411,0.75,0.75,1.1505,0.23345,0.10383439053730714,1,1,1,1.5949839880584746,-1.5554768135157264
116,5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,-2.691435367804411,0.75,0.75,0.7878,0.23345,3.1038343905373074,1,1,1,1.2162763291198595,-1.5554768135157264
117,5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,-2.691435367804411,0.75,0.75,0.9895,0.23345,4.103834390537307,1,0,1,1.4442318436256745,-1.5554768135157264
118,5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,-2.691435367804411,0.75,0.75,1.3989,0.23345,6.103834390537307,1,1,1,1.790473571065439,-1.5554768135157264
119,5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,-2.691435367804411,0.75,0.75,0.8009,0.23345,8.103834390537306,1,1,1,1.2327681739126906,-1.5554768135157264
120,5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,-2.441435367804411,1.0,0.75,0.9004,0.7324,0.10383439053730714,1,1,1,0.20651229623222148,-1.7221434805157263
121,5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,-2.441435367804411,1.0,0.75,0.8433,0.7324,1.1038343905373071,1,0,1,0.1409959537802403,-1.7221434805157263
122,5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,-2.441435367804411,1.0,0.75,0.4981,0.7324,3.1038343905373074,1,0,1,-0.385525952721118,-1.7221434805157263
123,5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,-2.441435367804411,1.0,0.75,0.5832,0.7324,4.103834390537307,1,1,1,-0.22779663210590728,-1.7221434805157263
124,5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,-2.441435367804411,1.0,0.75,2.7632,0.7324,5.103834390537307,1,0,1,1.3278178945920585,-1.7221434805157263
125,5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,-2.441435367804411,1.0,0.75,0.7497,0.7324,8.103834390537306,1,1,1,0.023346313708660686,-1.7221434805157263
126,5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1.0,-2.441435367804411,1.0,0.0,8.8238,0.7375,-0.8961656094626929,1,1,1,2.481941807004656,-1.2221434805157263
127,5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1.0,-2.441435367804411,1.0,0.0,2.4284,0.7375,0.10383439053730714,1,1,1,1.191721795042304,-1.2221434805157263
128,5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1.0,-2.441435367804411,1.0,0.0,4.9731,0.7375,3.1038343905373074,1,1,1,1.908532578884955,-1.2221434805157263
129,5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1.0,-2.441435367804411,1.0,0.0,1.8297,0.7375,4.103834390537307,1,1,1,0.9086412097565454,-1.2221434805157263
