,sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers
143,5b1775aebdf4e10001631c75_study3_2022-12-08_09h16.09.398.csv,1.0,0.75,0.75,0.5,0.8835,1.0463,6,3.0,0
144,5PARTICIPANT_study3_2022-12-08_09h11.36.071.csv,0.16666666666666666,0.5,1.0,0.25,1.0033,0.8273,1,7.0,1
145,5PARTICIPANT_study3_2022-12-08_09h11.36.071.csv,0.16666666666666666,0.5,1.0,0.25,0.9023,0.8273,2,5.0,1
146,5PARTICIPANT_study3_2022-12-08_09h11.36.071.csv,0.16666666666666666,0.5,1.0,0.25,0.8823,0.8273,3,0.0,0
147,5PARTICIPANT_study3_2022-12-08_09h11.36.071.csv,0.16666666666666666,0.5,1.0,0.25,0.9045,0.8273,4,6.0,1
148,5PARTICIPANT_study3_2022-12-08_09h11.36.071.csv,0.16666666666666666,0.5,1.0,0.25,0.8061,0.8273,5,8.0,1
149,5PARTICIPANT_study3_2022-12-08_09h11.36.071.csv,0.16666666666666666,0.5,1.0,0.25,0.6925,0.8273,6,1.0,1
150,60317fc2c8f6320ecde4bcb3_study3_2022-12-08_15h50.15.939.csv,0.16666666666666666,0.5,0.5,0.0,0.1056,1.0422,1,8.0,1
151,60317fc2c8f6320ecde4bcb3_study3_2022-12-08_15h50.15.939.csv,0.16666666666666666,0.5,0.5,0.0,0.7132,1.0422,2,3.0,1
152,60317fc2c8f6320ecde4bcb3_study3_2022-12-08_15h50.15.939.csv,0.16666666666666666,0.5,0.5,0.0,0.8223,1.0422,3,0.0,0
153,60317fc2c8f6320ecde4bcb3_study3_2022-12-08_15h50.15.939.csv,0.16666666666666666,0.5,0.5,0.0,0.118,1.0422,4,7.0,1
154,60317fc2c8f6320ecde4bcb3_study3_2022-12-08_15h50.15.939.csv,0.16666666666666666,0.5,0.5,0.0,0.9494,1.0422,5,5.0,1
155,60317fc2c8f6320ecde4bcb3_study3_2022-12-08_15h50.15.939.csv,0.16666666666666666,0.5,0.5,0.0,7.6931,1.0422,6,2.0,1
156,611e9c58009adf2fd5417cee_study3_2022-12-08_09h27.25.315.csv,0.3333333333333333,0.5,1.0,0.0,0.8672,0.8422,1,6.0,1
157,611e9c58009adf2fd5417cee_study3_2022-12-08_09h27.25.315.csv,0.3333333333333333,0.5,1.0,0.0,0.7738,0.8422,2,0.0,0
158,611e9c58009adf2fd5417cee_study3_2022-12-08_09h27.25.315.csv,0.3333333333333333,0.5,1.0,0.0,0.9913,0.8422,3,2.0,1
159,611e9c58009adf2fd5417cee_study3_2022-12-08_09h27.25.315.csv,0.3333333333333333,0.5,1.0,0.0,1.1014,0.8422,4,8.0,1
160,611e9c58009adf2fd5417cee_study3_2022-12-08_09h27.25.315.csv,0.3333333333333333,0.5,1.0,0.0,0.8871,0.8422,5,9.0,0
161,611e9c58009adf2fd5417cee_study3_2022-12-08_09h27.25.315.csv,0.3333333333333333,0.5,1.0,0.0,0.9905,0.8422,6,4.0,1
162,5d973069cb19b600164e2195_study3_2022-12-08_09h34.13.425.csv,0.6666666666666666,0.0,0.5,0.5,2.1532,1.0347,1,2.0,1
163,5d973069cb19b600164e2195_study3_2022-12-08_09h34.13.425.csv,0.6666666666666666,0.0,0.5,0.5,2.6419,1.0347,2,4.0,1
164,5d973069cb19b600164e2195_study3_2022-12-08_09h34.13.425.csv,0.6666666666666666,0.0,0.5,0.5,0.7687,1.0347,3,5.0,0
165,5d973069cb19b600164e2195_study3_2022-12-08_09h34.13.425.csv,0.6666666666666666,0.0,0.5,0.5,0.9947,1.0347,4,7.0,0
166,5d973069cb19b600164e2195_study3_2022-12-08_09h34.13.425.csv,0.6666666666666666,0.0,0.5,0.5,0.8539,1.0347,5,9.0,0
167,5d973069cb19b600164e2195_study3_2022-12-08_09h34.13.425.csv,0.6666666666666666,0.0,0.5,0.5,0.2149,1.0347,6,8.0,0
168,5PARTICIPANT_study3_2022-12-08_12h01.29.947.csv,1.0,0.5,1.0,0.0,2.2707,0.9926999999999999,1,1.0,0
169,5PARTICIPANT_study3_2022-12-08_12h01.29.947.csv,1.0,0.5,1.0,0.0,1.4019,0.9926999999999999,2,4.0,0
170,5PARTICIPANT_study3_2022-12-08_12h01.29.947.csv,1.0,0.5,1.0,0.0,0.7171,0.9926999999999999,3,2.0,0
171,5PARTICIPANT_study3_2022-12-08_12h01.29.947.csv,1.0,0.5,1.0,0.0,0.8886,0.9926999999999999,4,3.0,0
172,5PARTICIPANT_study3_2022-12-08_12h01.29.947.csv,1.0,0.5,1.0,0.0,0.6169,0.9926999999999999,5,6.0,0
173,5PARTICIPANT_study3_2022-12-08_12h01.29.947.csv,1.0,0.5,1.0,0.0,3.0781,0.9926999999999999,6,0.0,0
174,615a170c6eca532c6f57e09c_study3_2022-12-08_14h48.09.689.csv,0.8333333333333334,0.25,0.75,0.75,0.5338,0.7304,1,9.0,0
175,615a170c6eca532c6f57e09c_study3_2022-12-08_14h48.09.689.csv,0.8333333333333334,0.25,0.75,0.75,0.2455,0.7304,2,3.0,0
176,615a170c6eca532c6f57e09c_study3_2022-12-08_14h48.09.689.csv,0.8333333333333334,0.25,0.75,0.75,0.7663,0.7304,3,0.0,1
177,615a170c6eca532c6f57e09c_study3_2022-12-08_14h48.09.689.csv,0.8333333333333334,0.25,0.75,0.75,0.8533,0.7304,4,8.0,0
178,615a170c6eca532c6f57e09c_study3_2022-12-08_14h48.09.689.csv,0.8333333333333334,0.25,0.75,0.75,0.6945,0.7304,5,2.0,0
179,615a170c6eca532c6f57e09c_study3_2022-12-08_14h48.09.689.csv,0.8333333333333334,0.25,0.75,0.75,0.7498,0.7304,6,7.0,0
