Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
63066ab56fc3de04efe59f34,6153ae1e87ecf23bc773fd2d,RETURNED,2022-08-24T18:15:17.723000Z,,,,,,366,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
63066ab6ecc404d6894d9f87,5cdfb7d5ed552600019dc9f3,RETURNED,2022-08-24T18:19:59.281000Z,,,,,,1292,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
63066ab808210a3fcc3e63f6,614c8dd508d065d05cc8dd11,RETURNED,2022-08-24T18:15:26.972000Z,,,,,,1866,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
63066ab97b46596e6af50413,61320873b568fa35a206c2b8,TIMED-OUT,2022-08-24T18:15:21.906000Z,,,,53394297.0,,263,,,"English, Portuguese, Spanish",21,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
63066aba871d0e85610886cd,5f20983ec1b5461782ad7a61,RETURNED,2022-08-24T18:25:22.327000Z,,,,,,226,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
63066abb900c2478f857ef95,5f9dd5ecf197ec352831caf8,RETURNED,2022-08-24T18:15:27.563000Z,,,,,,716,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
63066abcb0a95fc063067c5e,60f74911e4bae4f052578670,RETURNED,2022-08-24T18:22:41.066000Z,,,,,,143,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
63066abd524b4034f15b8585,606f36b6fa9b709e240ce0c7,RETURNED,2022-08-24T18:15:25.668000Z,,,,,,212,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
63066abe359dd203b9f1c16e,60d4b847779e872e21c27181,TIMED-OUT,2022-08-24T18:15:55.078000Z,,,,53394264.0,,117,,,"Afrikaans, English",23,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,Not Applicable
63066ac0becc079fa6c5a9ff,5f5e7de4c81d3672642cd612,RETURNED,2022-08-24T18:15:28.558000Z,,,,,,661,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
63066ac1b0aff79068f1c151,5b27c8c9051c6e00019d0c96,TIMED-OUT,2022-08-24T18:15:29.400000Z,,,,53394290.0,,573,,,English,56,Male,Mixed,"Venezuela, Bolivarian Republic of",Chile,"Venezuela, Bolivarian Republic of",Spanish,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
