,s1_image,s2_image,s3_image,action1,action2
197,planet.png,watch.png,houses.png,9,2
198,trident.png,fox.png,hammer.png,1,2
199,trident.png,bell.png,train.png,1,2
200,planet.png,bell.png,tophat.png,9,8
201,trident.png,fox.png,apple.png,1,8
202,trident.png,bell.png,tophat.png,1,8
203,planet.png,watch.png,compass.png,9,8
204,trident.png,tree.png,north.png,1,2
205,planet.png,tree.png,snorkel.png,9,8
206,trident.png,tree.png,north.png,1,2
207,planet.png,tree.png,snorkel.png,9,8
208,planet.png,watch.png,compass.png,9,8
209,trident.png,bell.png,train.png,1,2
210,trident.png,bell.png,tophat.png,1,8
211,planet.png,tree.png,north.png,9,2
212,trident.png,bell.png,tophat.png,1,8
213,trident.png,watch.png,compass.png,1,8
214,trident.png,tree.png,north.png,1,2
215,trident.png,fox.png,hammer.png,1,2
216,trident.png,tree.png,north.png,1,2
217,trident.png,tree.png,snorkel.png,1,8
218,trident.png,fox.png,hammer.png,1,2
219,trident.png,fox.png,hammer.png,1,2
220,trident.png,bell.png,train.png,1,2
221,trident.png,tree.png,north.png,1,2
222,planet.png,bell.png,train.png,9,2
223,trident.png,tree.png,snorkel.png,1,8
224,trident.png,bell.png,tophat.png,1,8
225,planet.png,bell.png,tophat.png,9,8
226,trident.png,bell.png,train.png,1,2
227,planet.png,tree.png,north.png,9,2
228,trident.png,tree.png,snorkel.png,1,8
229,trident.png,fox.png,apple.png,1,8
230,trident.png,tree.png,snorkel.png,1,8
231,trident.png,fox.png,apple.png,1,8
232,trident.png,fox.png,hammer.png,1,2
233,trident.png,tree.png,north.png,1,2
234,planet.png,tree.png,north.png,9,2
235,planet.png,bell.png,tophat.png,9,8
236,planet.png,tree.png,snorkel.png,9,8
237,planet.png,bell.png,train.png,9,2
238,trident.png,fox.png,apple.png,1,8
239,trident.png,bell.png,tophat.png,1,8
240,trident.png,tree.png,snorkel.png,1,8
241,planet.png,bell.png,train.png,9,2
242,trident.png,tree.png,snorkel.png,1,8
243,trident.png,tree.png,snorkel.png,1,8
244,trident.png,bell.png,tophat.png,1,8
245,trident.png,tree.png,north.png,1,2
246,trident.png,tree.png,north.png,1,2
247,trident.png,tree.png,snorkel.png,1,8
248,trident.png,fox.png,hammer.png,1,2
249,planet.png,bell.png,tophat.png,9,8
250,trident.png,tree.png,snorkel.png,1,8
251,trident.png,tree.png,snorkel.png,1,8
252,planet.png,tree.png,north.png,9,2
253,planet.png,bell.png,train.png,9,2
254,trident.png,fox.png,apple.png,1,8
255,trident.png,tree.png,snorkel.png,1,8
256,trident.png,fox.png,hammer.png,1,2
257,planet.png,bell.png,tophat.png,9,8
258,planet.png,bell.png,tophat.png,9,8
259,trident.png,fox.png,apple.png,1,8
260,trident.png,fox.png,hammer.png,1,2
261,trident.png,fox.png,hammer.png,1,2
262,trident.png,fox.png,apple.png,1,8
263,trident.png,fox.png,hammer.png,1,2
264,trident.png,tree.png,snorkel.png,1,8
265,trident.png,tree.png,snorkel.png,1,8
266,planet.png,unicorn.png,window.png,9,8
267,planet.png,tree.png,north.png,9,2
268,planet.png,bell.png,train.png,9,2
269,trident.png,bell.png,tophat.png,1,8
270,trident.png,tree.png,north.png,1,2
271,trident.png,bell.png,train.png,1,2
272,planet.png,tree.png,snorkel.png,9,8
273,planet.png,tree.png,north.png,9,2
274,trident.png,tree.png,snorkel.png,1,8
