sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1,0.75,0.5832,0.7324,4,9,1,2
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1,0.75,2.7632,0.7324,5,4,0,2
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1,0.75,0.7497,0.7324,6,3,1,2
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1,0.5,1,0,8.8238,0.7375,1,1,1,2
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1,0.5,1,0,2.4284,0.7375,2,4,1,2
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1,0.5,1,0,4.9731,0.7375,3,7,1,2
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1,0.5,1,0,1.8297,0.7375,4,8,1,2
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1,0.5,1,0,7.4694,0.7375,5,3,1,2
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1,0.5,1,0,1.654,0.7375,6,5,1,2
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.666666667,0.25,0.25,0.5,3.6586,0.8605,1,3,0,2
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.666666667,0.25,0.25,0.5,4.008,0.8605,2,4,1,2
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.666666667,0.25,0.25,0.5,2.1819,0.8605,3,2,1,2
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.666666667,0.25,0.25,0.5,1.4295,0.8605,4,6,0,2
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.666666667,0.25,0.25,0.5,0.702,0.8605,5,5,1,2
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.666666667,0.25,0.25,0.5,0.8316,0.8605,6,9,1,2
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.666666667,0.75,0.75,0.25,1.1667,0.9836,1,0,1,2
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.666666667,0.75,0.75,0.25,1.3692,0.9836,2,7,1,2
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.666666667,0.75,0.75,0.25,1.802,0.9836,3,5,0,2
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.666666667,0.75,0.75,0.25,0.7082,0.9836,4,4,1,2
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.666666667,0.75,0.75,0.25,0.588,0.9836,5,2,1,2
5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.666666667,0.75,0.75,0.25,1.1348,0.9836,6,8,0,2
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,1.1589,0.852,1,1,0,2
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,0.8678,0.852,2,4,1,2
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,0.6747,0.852,3,3,1,2
60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,0.5844,0.852,4,5,1,2
