sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment
6116f7d468a5db3c416d5f00_study3_2022-12-08_10h26.40.788.csv,0,0,0.5,0.75,3.5367,1.47275,5,8,1,2
6116f7d468a5db3c416d5f00_study3_2022-12-08_10h26.40.788.csv,0,0,0.5,0.75,1.9249,1.47275,6,3,1,2
5PARTICIPANT_study3_2022-12-08_09h37.49.224.csv,1,0.25,0.25,0.25,0.7927,0.9573,1,9,0,2
5PARTICIPANT_study3_2022-12-08_09h37.49.224.csv,1,0.25,0.25,0.25,1.1909,0.9573,2,0,0,2
5PARTICIPANT_study3_2022-12-08_09h37.49.224.csv,1,0.25,0.25,0.25,0.8239,0.9573,3,1,0,2
5PARTICIPANT_study3_2022-12-08_09h37.49.224.csv,1,0.25,0.25,0.25,0.6425,0.9573,4,3,0,2
5PARTICIPANT_study3_2022-12-08_09h37.49.224.csv,1,0.25,0.25,0.25,0.8889,0.9573,5,7,0,2
5PARTICIPANT_study3_2022-12-08_09h37.49.224.csv,1,0.25,0.25,0.25,0.9545,0.9573,6,4,0,2
5acc65f668b65b00018db322_study3_2022-12-08_16h55.23.348.csv,0.833333333,0.5,1,1,14.67,0.8845,1,0,0,2
5acc65f668b65b00018db322_study3_2022-12-08_16h55.23.348.csv,0.833333333,0.5,1,1,4.1266,0.8845,2,4,0,2
5acc65f668b65b00018db322_study3_2022-12-08_16h55.23.348.csv,0.833333333,0.5,1,1,0.8747,0.8845,3,1,0,2
5acc65f668b65b00018db322_study3_2022-12-08_16h55.23.348.csv,0.833333333,0.5,1,1,1.1273,0.8845,4,5,0,2
5acc65f668b65b00018db322_study3_2022-12-08_16h55.23.348.csv,0.833333333,0.5,1,1,2.5338,0.8845,5,9,0,2
5acc65f668b65b00018db322_study3_2022-12-08_16h55.23.348.csv,0.833333333,0.5,1,1,0.9756,0.8845,6,3,1,2
5PARTICIPANT_study3_2022-12-08_10h22.01.344.csv,1,0.5,1,1,1.675,1.1135,1,0,0,2
5PARTICIPANT_study3_2022-12-08_10h22.01.344.csv,1,0.5,1,1,1.254,1.1135,2,3,0,2
5PARTICIPANT_study3_2022-12-08_10h22.01.344.csv,1,0.5,1,1,0.991,1.1135,3,8,0,2
5PARTICIPANT_study3_2022-12-08_10h22.01.344.csv,1,0.5,1,1,1.375,1.1135,4,9,0,2
5PARTICIPANT_study3_2022-12-08_10h22.01.344.csv,1,0.5,1,1,0.984,1.1135,5,1,0,2
5PARTICIPANT_study3_2022-12-08_10h22.01.344.csv,1,0.5,1,1,1.207,1.1135,6,5,0,2
5d4ce3e7ffbcf800179d56cd_study3_2022-12-08_08h22.14.031.csv,0.833333333,0.5,1,0.5,3.3836,1.12055,1,4,1,2
5d4ce3e7ffbcf800179d56cd_study3_2022-12-08_08h22.14.031.csv,0.833333333,0.5,1,0.5,4.6047,1.12055,2,2,0,2
5d4ce3e7ffbcf800179d56cd_study3_2022-12-08_08h22.14.031.csv,0.833333333,0.5,1,0.5,0.8511,1.12055,3,5,0,2
5d4ce3e7ffbcf800179d56cd_study3_2022-12-08_08h22.14.031.csv,0.833333333,0.5,1,0.5,2.4015,1.12055,4,8,0,2
5d4ce3e7ffbcf800179d56cd_study3_2022-12-08_08h22.14.031.csv,0.833333333,0.5,1,0.5,1.5878,1.12055,5,7,0,2
5d4ce3e7ffbcf800179d56cd_study3_2022-12-08_08h22.14.031.csv,0.833333333,0.5,1,0.5,0.8334,1.12055,6,9,0,2
5PARTICIPANT_study3_2022-12-08_14h49.19.560.csv,0.666666667,0.25,0.75,0.75,3.6242,0.9028,1,4,0,2
5PARTICIPANT_study3_2022-12-08_14h49.19.560.csv,0.666666667,0.25,0.75,0.75,2.6727,0.9028,2,2,1,2
5PARTICIPANT_study3_2022-12-08_14h49.19.560.csv,0.666666667,0.25,0.75,0.75,1.3041,0.9028,3,9,1,2
5PARTICIPANT_study3_2022-12-08_14h49.19.560.csv,0.666666667,0.25,0.75,0.75,0.9027,0.9028,4,8,0,2
5PARTICIPANT_study3_2022-12-08_14h49.19.560.csv,0.666666667,0.25,0.75,0.75,0.7186,0.9028,5,3,0,2
5PARTICIPANT_study3_2022-12-08_14h49.19.560.csv,0.666666667,0.25,0.75,0.75,0.9509,0.9028,6,1,0,2
6098ad15adcdf37d6ac9557e_study3_2022-12-08_13h15.39.302.csv,1,0.5,1,0,1.1826,0.8395,1,6,0,2
6098ad15adcdf37d6ac9557e_study3_2022-12-08_13h15.39.302.csv,1,0.5,1,0,0.8976,0.8395,2,4,0,2
6098ad15adcdf37d6ac9557e_study3_2022-12-08_13h15.39.302.csv,1,0.5,1,0,0.6842,0.8395,3,9,0,2
6098ad15adcdf37d6ac9557e_study3_2022-12-08_13h15.39.302.csv,1,0.5,1,0,0.7119,0.8395,4,5,0,2
6098ad15adcdf37d6ac9557e_study3_2022-12-08_13h15.39.302.csv,1,0.5,1,0,1.0784,0.8395,5,0,0,2
6098ad15adcdf37d6ac9557e_study3_2022-12-08_13h15.39.302.csv,1,0.5,1,0,0.8505,0.8395,6,1,0,2
5Abril_study3_2022-12-08_09h27.24.386.csv,0.5,0.5,1,0,4.6674,0.82665,1,4,1,2
5Abril_study3_2022-12-08_09h27.24.386.csv,0.5,0.5,1,0,0.1676,0.82665,2,7,0,2
5Abril_study3_2022-12-08_09h27.24.386.csv,0.5,0.5,1,0,0.601,0.82665,3,8,1,2
5Abril_study3_2022-12-08_09h27.24.386.csv,0.5,0.5,1,0,1.2007,0.82665,4,0,0,2
5Abril_study3_2022-12-08_09h27.24.386.csv,0.5,0.5,1,0,0.5511,0.82665,5,1,0,2
5Abril_study3_2022-12-08_09h27.24.386.csv,0.5,0.5,1,0,0.501,0.82665,6,3,1,2
