,sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment,log_rt_planning,PR,MB,BR
113,63052f20afc39e87110eb83e_study6_2023-08-14_12h38.59.035.csv,0.666666667,0.5,0.5,0.25,4.1811,1.0576,4,0,0,1,1.3745721796961516,-0.9351017630957245,-0.6012688978323589,-1.9468348900279673
114,5b2bcfb51835660001cc6751_study6_2023-08-14_20h17.28.155.csv,0.333333333,0.5,0.5,0.0,0.283,1.209,1,4,1,1,-1.4521019529715553,-0.6017684290957245,-0.8512688978323589,-1.9468348900279673
115,5b2bcfb51835660001cc6751_study6_2023-08-14_20h17.28.155.csv,0.333333333,0.5,0.5,0.0,1.218,1.209,2,7,0,1,0.007416597655049619,-0.6017684290957245,-0.8512688978323589,-1.9468348900279673
116,5b2bcfb51835660001cc6751_study6_2023-08-14_20h17.28.155.csv,0.333333333,0.5,0.5,0.0,1.605,1.209,3,2,1,1,0.28333018494932355,-0.6017684290957245,-0.8512688978323589,-1.9468348900279673
117,5b2bcfb51835660001cc6751_study6_2023-08-14_20h17.28.155.csv,0.333333333,0.5,0.5,0.0,1.115,1.209,4,3,0,1,-0.08093916672057361,-0.6017684290957245,-0.8512688978323589,-1.9468348900279673
118,63a439dbbbc878947742d7f7_study6_2023-08-14_12h12.42.182.csv,0.166666667,0.25,0.5,0.0,0.3357,0.7417,1,5,1,1,-0.7927269447565232,-0.43510176309572446,-0.8512688978323589,-2.1968348900279673
119,63a439dbbbc878947742d7f7_study6_2023-08-14_12h12.42.182.csv,0.166666667,0.25,0.5,0.0,0.3296,0.7417,2,6,0,1,-0.8110650507071958,-0.43510176309572446,-0.8512688978323589,-2.1968348900279673
120,63a439dbbbc878947742d7f7_study6_2023-08-14_12h12.42.182.csv,0.166666667,0.25,0.5,0.0,0.2849,0.7417,3,3,1,1,-0.9568066072386499,-0.43510176309572446,-0.8512688978323589,-2.1968348900279673
121,63a439dbbbc878947742d7f7_study6_2023-08-14_12h12.42.182.csv,0.166666667,0.25,0.5,0.0,0.2605,0.7417,4,7,1,1,-1.046341987549091,-0.43510176309572446,-0.8512688978323589,-2.1968348900279673
122,63d69e4d6648b39324fdf0ad_study6_2023-08-17_20h13.24.744.csv,0.166666667,0.75,0.25,0.0,2.268,0.7557,1,2,1,1,1.0990091928209684,-0.43510176309572446,-0.8512688978323589,-1.6968348900279673
