sub,choice,PR_EV,SR_EV,MB_EV,BR_EV
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,1,0.2,-0.08,-0.08,1.0
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,1,0.5,0.025,0.025,-1.0
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0,0.5,0.025,0.025,-1.0
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,1,0.2,-0.08,-0.08,1.0
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,1,0.2,-0.08,-0.08,1.0
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,1,0.2,-0.15,-0.15,1.0
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,1,1.0,0.2,0.2,1.0
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,1,1.0,0.2,0.2,1.0
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,1,0.0,0.0,0.5,1.0
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,1,0.0,0.0,0.5,1.0
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,1,0.0,0.0,0.5,-1.0
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0,0.0,0.0,0.5,-1.0
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,1,1.0,0.2,0.2,1.0
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0,0.2,-0.08,-0.08,1.0
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,1,0.5,0.025,0.025,-1.0
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,1,0.2,-0.08,-0.08,1.0
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,1,0.2,-0.08,-0.08,1.0
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,1,0.5,0.025,0.025,-1.0
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,1,0.2,-0.15,-0.15,1.0
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,1,1.0,0.2,0.2,1.0
